external_id;canonical_name;label_en;label_ru;platforms;aliases;external_url
Q14753828;7 Days to Die;7 Days to Die;7 Days to Die;PlayStation 4;7 Days to Die | 7DTD;https://www.wikidata.org/wiki/Q14753828
Q138497899;70s-style Robot Anime Geppy-X;70s-style Robot Anime Geppy-X;;PlayStation 5 | PlayStation 4;70s-style Robot Anime Geppy-X;https://www.wikidata.org/wiki/Q138497899
Q64698768;7th Sector;7th Sector;Носков Сергей;PlayStation 4;7th Sector | Носков Сергей | Noskov Sergey | sector-5;https://www.wikidata.org/wiki/Q64698768
Q127050382;8 To Glory;8 To Glory;;PlayStation 4;8 To Glory | 8 to Glory - Bull Riding | 8 To Glory - The Official Game of the PBR;https://www.wikidata.org/wiki/Q127050382
Q115011044;8-Ball Pocket;8-Ball Pocket;;PlayStation 5;8-Ball Pocket;https://www.wikidata.org/wiki/Q115011044
Q124062682;8-bit Adventure Anthology: Volume I;8-bit Adventure Anthology: Volume I;;PlayStation 4;8-bit Adventure Anthology: Volume I | 8-bit Adventure Anthology;https://www.wikidata.org/wiki/Q124062682
Q108915508;8-Bit Adventures 2;8-Bit Adventures 2;;PlayStation 5 | PlayStation 4;8-Bit Adventures 2;https://www.wikidata.org/wiki/Q108915508
Q24204188;8-Bit Armies;8-Bit Armies;;PlayStation 4;8-Bit Armies;https://www.wikidata.org/wiki/Q24204188
Q26963268;8-Bit Hordes;8-Bit Hordes;;PlayStation 4;8-Bit Hordes;https://www.wikidata.org/wiki/Q26963268
Q114924493;8-Bit Invaders!;8-Bit Invaders!;;PlayStation 4;8-Bit Invaders!;https://www.wikidata.org/wiki/Q114924493
Q88873491;88 Heroes;88 Heroes;;PlayStation 4;88 Heroes;https://www.wikidata.org/wiki/Q88873491
Q109681167;890B;890B;;PlayStation 4;890B;https://www.wikidata.org/wiki/Q109681167
Q52028959;8Days;8Days;8Days;PlayStation 4;8Days | 8DAYS - Peace is our Business;https://www.wikidata.org/wiki/Q52028959
Q114860818;9 Clues 2: The Ward;9 Clues 2: The Ward;9 Clues 2: The Ward;PlayStation 4;9 Clues 2: The Ward | 9 Clues 2;https://www.wikidata.org/wiki/Q114860818
Q111805010;9 Clues: The Secret of Serpent Creek;9 Clues: The Secret of Serpent Creek;9 Clues: The Secret of Serpent Creek;PlayStation 4;9 Clues: The Secret of Serpent Creek | Nine Clues: The Secret of Serpent Creek | The Secret of Serpent Creek | 9 Clues;https://www.wikidata.org/wiki/Q111805010
Q65009456;9 Monkeys of Shaolin;9 Monkeys of Shaolin;9 Monkeys of Shaolin;PlayStation 4;9 Monkeys of Shaolin;https://www.wikidata.org/wiki/Q65009456
Q116303945;9 Years of Shadows;9 Years of Shadows;9 Years of Shadows;PlayStation 5 | PlayStation 4;9 Years of Shadows;https://www.wikidata.org/wiki/Q116303945
Q140312601;99 Nights in the Forest;99 Nights in the Forest;;PlayStation 5 | PlayStation 4;99 Nights in the Forest | 99 ночей в лесу;https://www.wikidata.org/wiki/Q140312601
Q125911862;99Seconds;99Seconds;;PlayStation 5 | PlayStation 4;99Seconds | 99 Seconds;https://www.wikidata.org/wiki/Q125911862
Q36690866;99Vidas;99Vidas;99Vidas;PlayStation 4;99Vidas | 99 Vidas;https://www.wikidata.org/wiki/Q36690866
Q114712540;9th Dawn III: Shadow of Erthil;9th Dawn III: Shadow of Erthil;;PlayStation 4;9th Dawn III: Shadow of Erthil | 9th Dawn III;https://www.wikidata.org/wiki/Q114712540
Q133893788;9th Dawn Remake;9th Dawn Remake;;PlayStation 5 | PlayStation 4;9th Dawn Remake;https://www.wikidata.org/wiki/Q133893788
Q129573157;[REDACTED];[REDACTED];;PlayStation 5;[REDACTED] | Project Birdseye;https://www.wikidata.org/wiki/Q129573157
Q60743318;A Bastard's Tale;A Bastard's Tale;;PlayStation 4;A Bastard's Tale;https://www.wikidata.org/wiki/Q60743318
Q4655600;A Boy and His Blob;A Boy and His Blob;A Boy and His Blob;PlayStation 4;A Boy and His Blob;https://www.wikidata.org/wiki/Q4655600
Q52860923;A Certain Magical Virtual-On;A Certain Magical Virtual-On;A Certain Magical Virtual-On;PlayStation 4;A Certain Magical Virtual-On;https://www.wikidata.org/wiki/Q52860923
Q23775655;A Chair in a Room : Greenwater;A Chair in a Room : Greenwater;;PlayStation 4;A Chair in a Room : Greenwater | A Chair in a Room;https://www.wikidata.org/wiki/Q23775655
Q122313623;A Day Without Me;A Day Without Me;;PlayStation 4;A Day Without Me;https://www.wikidata.org/wiki/Q122313623
Q94522593;A Fisherman's Tale;A Fisherman's Tale;A Fisherman's Tale;PlayStation 4;A Fisherman's Tale;https://www.wikidata.org/wiki/Q94522593
Q105745740;A Fold Apart;A Fold Apart;;PlayStation 4;A Fold Apart;https://www.wikidata.org/wiki/Q105745740
Q138798360;A Grym Fate;A Grym Fate;;PlayStation 5;A Grym Fate;https://www.wikidata.org/wiki/Q138798360
Q114949201;A Gummy's Life;A Gummy's Life;;PlayStation 5 | PlayStation 4;A Gummy's Life;https://www.wikidata.org/wiki/Q114949201
Q15934711;A Hat in Time;A Hat in Time;A Hat in Time;PlayStation 4;A Hat in Time | AHiT;https://www.wikidata.org/wiki/Q15934711
Q111966566;A Hat in Time - Seal the Deal;A Hat in Time - Seal the Deal;;PlayStation 4;A Hat in Time - Seal the Deal | Seal the Deal;https://www.wikidata.org/wiki/Q111966566
Q112250661;A HERO AND A GARDEN;A HERO AND A GARDEN;;PlayStation 4;A HERO AND A GARDEN;https://www.wikidata.org/wiki/Q112250661
Q90571929;A Hole New World;A Hole New World;;PlayStation 4;A Hole New World;https://www.wikidata.org/wiki/Q90571929
Q16207490;A House Divided;A House Divided;A House Divided;PlayStation 4;A House Divided;https://www.wikidata.org/wiki/Q16207490
Q108506940;A Juggler's Tale;A Juggler's Tale;A Juggler’s Tale;PlayStation 5 | PlayStation 4;A Juggler's Tale;https://www.wikidata.org/wiki/Q108506940
Q114339796;A King s Tale: Final Fantasy XV;A King s Tale: Final Fantasy XV;;PlayStation 4;A King s Tale: Final Fantasy XV | A King s Tale;https://www.wikidata.org/wiki/Q114339796
Q62091510;A Little Lily Princess;A Little Lily Princess;;PlayStation 5;A Little Lily Princess;https://www.wikidata.org/wiki/Q62091510
Q115232287;A Little to the Left;A Little to the Left;;PlayStation 5 | PlayStation 4;A Little to the Left | ALttL;https://www.wikidata.org/wiki/Q115232287
Q122309566;A Matter of Principle;A Matter of Principle;A Matter of Principle;PlayStation 4;A Matter of Principle;https://www.wikidata.org/wiki/Q122309566
Q111458005;A Memoir Blue;A Memoir Blue;;PlayStation 5 | PlayStation 4;A Memoir Blue;https://www.wikidata.org/wiki/Q111458005
